NOME_MUNICIPIO,UF,Valor_Medio_Pago,Etiqueta_Classificacao
SAO MARTINHO,RS,596.8639455782313,Baixo Repasse
BOA VENTURA DE SAO ROQUE,PR,635.7075351213282,Baixo Repasse
NONOAI,RS,691.988309352518,Alto Repasse
IRACEMA,RR,721.1075193253689,Alto Repasse
PALMITOS,SC,647.4444444444445,Baixo Repasse
ENGENHO VELHO,RS,741.364238410596,Alto Repasse
VILA NOVA DOS MARTIRIOS,MA,703.8004778972521,Alto Repasse
TUMIRITINGA,MG,645.9087523277467,Baixo Repasse
CURIONOPOLIS,PA,690.280358598207,Alto Repasse
VITORIA DO MEARIM,MA,694.5820287018917,Alto Repasse
PAU DOS FERROS,RN,645.670480549199,Baixo Repasse
ITACAJA,TO,720.3638554216867,Alto Repasse
TAMBORIL,CE,680.0889470241988,Alto Repasse
BARROS CASSAL,RS,623.7312925170068,Baixo Repasse
PIRACEMA,MG,648.9911504424779,Baixo Repasse
CORRENTES,PE,680.9374680959673,Alto Repasse
PORTO MURTINHO,MS,710.6738562091504,Alto Repasse
PARISI,SP,599.4952830188679,Baixo Repasse
ALFREDO VASCONCELOS,MG,622.1135029354208,Baixo Repasse
SAO LUIZ GONZAGA,RS,681.6232114467408,Alto Repasse
IRAPURU,SP,638.3137254901961,Baixo Repasse
POMPEIA,SP,648.0016129032258,Baixo Repasse
CONFINS,MG,589.2635135135135,Baixo Repasse
BURITI BRAVO,MA,703.1115777940103,Alto Repasse
ITAPIRANGA,SC,690.3735632183908,Alto Repasse
NOVO REPARTIMENTO,PA,716.4744466145834,Alto Repasse
PLANALTO,RS,684.5902192242833,Alto Repasse
BOM JARDIM DE MINAS,MG,628.3627167630058,Baixo Repasse
CAICARA,RS,683.5546448087432,Alto Repasse
BANDEIRANTES,MS,691.6379974326059,Alto Repasse
SAO JOAO DO PARAISO,MG,640.8742655699177,Baixo Repasse
VERA CRUZ DO OESTE,PR,608.0287539936103,Baixo Repasse
OURO BRANCO,RN,649.0862573099415,Baixo Repasse
ENTRE RIOS DE MINAS,MG,649.6729797979798,Baixo Repasse
JAPORA,MS,715.5032938076416,Alto Repasse
GUAPORE,RS,695.3997194950912,Alto Repasse
ITAPARICA,BA,641.2287917737789,Baixo Repasse
FEIRA NOVA DO MARANHAO,MA,712.3935527199462,Alto Repasse
BURITI ALEGRE,GO,690.5275938189845,Alto Repasse
